dataset,model,seed,instance_index,perturbation_rate,p_orig,p_pert,prediction_drift,prediction_preserving,plausibility_pass,plausibility_max_z,shap_rank_sim,shap_attr_sim,shap_sign_cons,shap_topk_overlap,lime_rank_sim,lime_attr_sim,lime_sign_cons,lime_topk_overlap
taiwan,lightgbm,123,381,-0.1,0.34941031166888903,0.32501448680894685,0.024395824859942183,True,True,1.7719473297194683,0.9901185770750988,0.9736270268991627,1.0,0.8,0.3745059288537549,0.658986450611052,0.6521739130434783,0.6
taiwan,lightgbm,123,381,-0.05,0.34941031166888903,0.31954934466509965,0.029860967003789374,True,True,1.7719473297194683,0.9891304347826088,0.9773536842301853,1.0,1.0,0.3300395256916996,0.6477170731024808,0.6086956521739131,0.4
taiwan,lightgbm,123,381,0.05,0.34941031166888903,0.3327191267340191,0.01669118493486993,True,True,1.0566748368709191,0.700592885375494,0.9116153242103925,0.9565217391304348,0.8,0.3656126482213439,0.5010982487218705,0.5217391304347826,0.4
taiwan,lightgbm,123,381,0.1,0.34941031166888903,0.33121822361275954,0.018192088056129485,True,True,1.1683273886652918,0.7460474308300395,0.917033933445593,0.9130434782608695,0.8,0.48320158102766797,0.3442993760375251,0.5217391304347826,0.6
taiwan,lightgbm,123,406,-0.1,0.3266189772071309,0.47473462929956317,0.14811565209243227,False,True,1.545102149789186,0.7816205533596838,0.7398070635984799,0.9130434782608695,1.0,0.19466403162055337,-0.1649665884306725,0.5652173913043478,0.2
taiwan,lightgbm,123,406,-0.05,0.3266189772071309,0.46437634512519654,0.13775736791806564,False,True,1.6695224748981428,0.8448616600790515,0.7219847321376276,0.8695652173913043,1.0,-0.02964426877470356,-0.14411083244130016,0.5652173913043478,0.2
taiwan,lightgbm,123,406,0.05,0.3266189772071309,0.6379180432499582,0.31129906604282725,False,True,1.9183631251160573,0.04743083003952569,0.32163963658888406,0.6521739130434783,0.0,-0.06422924901185771,-0.06055546096582196,0.4782608695652174,0.4
taiwan,lightgbm,123,406,0.1,0.3266189772071309,0.6987347674610063,0.37211579025387537,False,True,2.0427834502250146,-0.07411067193675888,0.27021045286939793,0.6086956521739131,0.2,0.2005928853754941,-0.2722851055304038,0.391304347826087,0.4
taiwan,lightgbm,123,511,-0.1,0.6584599334991799,0.4560224483030476,0.20243748519613225,False,True,1.1494255830661697,0.6610671936758893,0.593191759299087,0.782608695652174,0.8,0.49802371541501983,0.7888834514956791,0.7391304347826086,0.8
taiwan,lightgbm,123,511,-0.05,0.6584599334991799,0.4491270345320017,0.20933289896717816,False,True,1.1417254070803509,0.6620553359683795,0.5954253310854851,0.7391304347826086,0.8,0.3300395256916996,0.7575144345145659,0.8260869565217391,0.4
taiwan,lightgbm,123,511,0.05,0.6584599334991799,0.8722381735192988,0.21377824002011891,False,True,2.617945350850177,0.6531620553359684,0.3980251482953026,0.8260869565217391,0.4,0.7608695652173914,0.8984729620786668,0.8695652173913043,0.6
