dataset,model,seed,instance_index,perturbation_rate,p_orig,p_pert,prediction_drift,prediction_preserving,plausibility_pass,plausibility_max_z,shap_rank_sim,shap_attr_sim,shap_sign_cons,shap_topk_overlap,lime_rank_sim,lime_attr_sim,lime_sign_cons,lime_topk_overlap
german,xgboost,42,11,-0.1,0.5732948184013367,0.3870789706707001,0.1862158477306366,False,True,3.164159408421889,0.8974108451392282,0.9358704840165528,0.8913043478260869,0.8,0.7945071645679548,0.8884587055330484,0.8541666666666666,0.8
german,xgboost,42,11,-0.05,0.5732948184013367,0.3768604099750519,0.1964344084262848,False,True,3.164159408421889,0.9077240406014222,0.9324323499274481,0.9130434782608695,0.8,0.7843030829353017,0.8883928074575996,0.875,0.8
german,xgboost,42,11,0.05,0.5732948184013367,0.42961055040359497,0.1436842679977417,False,True,2.8088396562046154,0.9470227433099929,0.9620618908044761,0.9565217391304348,0.8,0.7901650021710812,0.8713745787585224,0.8541666666666666,0.4
german,xgboost,42,11,0.1,0.5732948184013367,0.3783281445503235,0.19496667385101318,False,True,2.8088396562046154,0.9395321066058732,0.8649398392086101,0.9130434782608695,0.8,0.7809379070777246,0.8689452903608155,0.8333333333333334,0.4
german,xgboost,42,13,-0.1,0.3955515921115875,0.37351682782173157,0.022034764289855957,True,True,3.164159408421889,0.9790479292189112,0.9727597915846093,0.9565217391304348,1.0,0.8501953973078592,0.8494974791109287,0.9791666666666666,0.8
german,xgboost,42,13,-0.05,0.3955515921115875,0.4790225327014923,0.08347094058990479,False,True,3.164159408421889,0.9752483308907344,0.9177893665039902,0.9565217391304348,0.8,0.8461788970907511,0.8576068510906388,0.9791666666666666,0.8
german,xgboost,42,13,0.05,0.3955515921115875,0.6157653331756592,0.22021374106407166,False,True,2.29128784747792,0.9321500298539869,0.9567160499352156,0.8478260869565217,0.8,0.8249023013460703,0.7889931892521073,0.8541666666666666,0.4
german,xgboost,42,13,0.1,0.3955515921115875,0.5738044381141663,0.17825284600257874,False,True,2.29128784747792,0.9387721869402379,0.9621856152804223,0.8478260869565217,0.8,0.8641988710377768,0.7865903975486053,0.8541666666666666,0.6
german,xgboost,42,15,-0.1,0.011241624131798744,0.007152395788580179,0.004089228343218565,True,True,3.164159408421889,0.9559246593931499,0.980194743715914,0.9565217391304348,0.8,0.934433347807208,0.940391331603513,0.9791666666666666,0.8
german,xgboost,42,15,-0.05,0.011241624131798744,0.007424794137477875,0.0038168299943208694,True,True,3.164159408421889,0.9494110622591326,0.9792682986469088,0.9565217391304348,0.8,0.9335649153278333,0.9403886508369196,0.9791666666666666,0.8
