dataset,model,seed,instance_index,perturbation_rate,p_orig,p_pert,prediction_drift,prediction_preserving,plausibility_pass,plausibility_max_z,shap_rank_sim,shap_attr_sim,shap_sign_cons,shap_topk_overlap,lime_rank_sim,lime_attr_sim,lime_sign_cons,lime_topk_overlap
german,random_forest,2024,11,-0.1,0.4145039888979956,0.3763383631631671,0.03816562573482851,True,True,3.164159408421889,0.9443087445041526,0.9450041059376492,0.9782608695652174,1.0,0.07957012592270951,0.4448606025527813,0.6041666666666666,0.4
german,random_forest,2024,11,-0.05,0.4145039888979956,0.3778705837323798,0.03663340516561581,True,True,3.164159408421889,0.9434402648862836,0.9583345636084616,0.9782608695652174,1.0,0.18237082066869298,0.4280819068527942,0.5625,0.4
german,random_forest,2024,11,0.05,0.4145039888979956,0.405051939220566,0.00945204967742963,True,True,2.8088396562046154,0.955598979536449,0.9948526808291381,0.9347826086956522,1.0,0.20234476769431176,0.4312178585749467,0.5416666666666666,0.4
german,random_forest,2024,11,0.1,0.4145039888979956,0.40597869747503607,0.008525291422959547,True,True,2.8088396562046154,0.9522336210172069,0.9942031335836417,0.9347826086956522,1.0,0.11767260095527572,0.4284509721973025,0.5833333333333334,0.4
german,random_forest,2024,13,-0.1,0.424925898732306,0.41026736503813516,0.014658533694170861,True,True,3.164159408421889,0.9700374531835207,0.9937777501155145,0.9782608695652174,1.0,0.1355840208423795,0.730761342396363,0.5833333333333334,0.4
german,random_forest,2024,13,-0.05,0.424925898732306,0.4093373788610902,0.015588519871215845,True,True,3.164159408421889,0.9713401726103242,0.9930979079691014,0.9782608695652174,1.0,0.22134172818063397,0.652647680112351,0.6041666666666666,0.4
german,random_forest,2024,13,0.05,0.424925898732306,0.4737621740874947,0.048836275355188696,True,True,2.29128784747792,0.9580958584378223,0.9896002569899287,0.8478260869565217,1.0,0.22210160660008685,0.4056466083448554,0.5,0.4
german,random_forest,2024,13,0.1,0.424925898732306,0.46868793634045774,0.04376203760815173,True,True,2.29128784747792,0.9586386581989904,0.9892079713440203,0.8695652173913043,1.0,0.272579244463743,0.4441330731007198,0.4583333333333333,0.4
german,random_forest,2024,15,-0.1,0.1759236723684074,0.1704428102353713,0.005480862133036085,True,True,3.164159408421889,0.9979373609075612,0.9997868160865796,1.0,0.8,0.5986756404689535,0.8878439621564127,0.9583333333333334,0.8
german,random_forest,2024,15,-0.05,0.1759236723684074,0.17412880057353558,0.0017948717948718107,True,True,3.164159408421889,0.999457200238832,0.9999503523149473,1.0,1.0,0.7282891880156318,0.8931673061717654,0.9166666666666666,0.8
german,random_forest,2024,15,0.05,0.1759236723684074,0.2135757613441477,0.03765208897574032,True,True,3.8389822743992283,0.955598979536449,0.9921899666231954,0.9565217391304348,1.0,0.6989795918367347,0.8960352904885539,0.9166666666666666,0.8
german,random_forest,2024,15,0.1,0.1759236723684074,0.2150573763405428,0.03913370397213542,True,False,4.174175558733665,0.9554904195842154,0.9921159357037268,0.9565217391304348,1.0,0.6181068171949631,0.8823719377168054,0.8958333333333334,0.8
german,random_forest,2024,16,-0.1,0.47625118010163864,0.43489660190782187,0.04135457819381677,True,True,3.164159408421889,0.896325245616892,0.9660183899312326,1.0,0.8,0.3323925314806774,0.5973166886011841,0.6041666666666666,0.2
german,random_forest,2024,16,-0.05,0.47625118010163864,0.44385522576497993,0.032395954336658705,True,True,3.164159408421889,0.9069641209357868,0.9792887042289835,1.0,0.8,0.29939209726443766,-0.2724509954755071,0.3333333333333333,0.4
german,random_forest,2024,16,0.05,0.47625118010163864,0.49690710308646535,0.020655922984826713,True,False,4.572632218970465,0.8953482060467894,0.9859728297854413,0.8913043478260869,1.0,0.4891445940078159,0.7885849624028836,0.7083333333333334,0.6
german,random_forest,2024,16,0.1,0.47625118010163864,0.49492497424151877,0.01867379413988013,True,False,4.572632218970465,0.8910058079574446,0.9861286350139773,0.8913043478260869,1.0,0.49066435084672166,0.8044666400320649,0.6458333333333334,0.8
german,random_forest,2024,21,-0.1,0.31599237519534235,0.28275949177216236,0.03323288342317998,True,True,3.164159408421889,0.9736199316072301,0.9930490023913575,0.9782608695652174,1.0,0.5698002605297438,0.8336823786719704,0.8958333333333334,0.8
