instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,mlp,shap,0.020177417705126755,0.0,0.0,0.014897154833146768,0.0,-0.04948414282515377,0.0,-0.013200606464807226,-0.006161376484973835,-0.0052025990553143334,-0.011466160594025158,-0.010850288765649597,-0.001400543112829793,0.0,0.0,0.0,0.0,0.007804163962659407,0.0,0.0,0.0,0.0,0.0
378,0,taiwan,mlp,shap,0.0,0.0,0.0,0.0,-0.00840363811728512,-0.04108657339565816,-0.020597623328883475,-0.014202271574913015,-0.005543489808849122,0.0,0.0,-0.008775347691514987,-0.003486176428939968,-0.004763451926008744,0.0,0.0,0.0,0.0,-0.006838737195508683,0.0,-0.027067387875549777,0.0,0.0
403,0,taiwan,mlp,shap,-0.04882775784518021,0.0,0.0,0.0,-0.009771904138535596,-0.043301623073335946,0.0,-0.009197776596860607,0.0,0.0,-0.012510847634516035,-0.018472739104720852,0.0,0.0,0.0,-0.009981299869090977,-0.018367144021109044,-0.010772453681073843,0.0,0.0,-0.009428848438796133,0.0,0.0
455,0,taiwan,mlp,shap,0.028008767787543517,0.006513218953969063,0.0,0.0,0.0,-0.049149344849777725,0.0,-0.019238208614359306,0.0,0.0,-0.016406179707333803,0.018089079584618657,-0.0014899798552658052,0.010141673483239718,-0.017054137735199006,0.010912519117304268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,0,taiwan,mlp,shap,-0.0451121722487421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031592095899126696,-0.002370093642294381,0.0,-0.035511399363711144,0.10168466826487917,-0.027839626400167593,0.0,-0.02790922872430147,-0.033110668325646395,0.0,-0.006316669110001693,0.0,-0.02136926769850926,0.0,0.0
526,0,taiwan,mlp,shap,0.033231308247841235,0.0,0.0,0.0,-0.01108465628688741,-0.04877249340518518,0.0,-0.009170518671248976,0.0,-0.00606266080151108,-0.011554882501335647,0.003954590487843112,-0.01691245916418867,0.0,0.0,0.0,0.0,0.011199581870055302,0.0,0.0,0.0,0.0,0.008272887473791408
545,1,taiwan,mlp,shap,-0.05516398841696105,0.0,0.0,0.0,0.0,-0.03324600915075707,-0.0049074554891507536,-0.004766746947337111,-0.0061528575729251555,0.0,0.0,0.0,-0.004198196728655166,0.0,0.0,0.0,0.0,-0.01740324737028245,-0.009560722026639523,-0.009447358135758735,0.0,-0.0033054332217193616,0.0
555,0,taiwan,mlp,shap,0.0,0.0,0.0,0.0,-0.017659419067163163,-0.04263369121808168,0.0,-0.00953618907685573,-0.007749350898991904,0.0,-0.010824881642060564,0.0,-0.010067013781469103,-0.0040284709703919345,0.0,-0.004295386899760278,0.0,0.0,-0.025841762697590972,0.0,0.0,0.0,-0.015504233352670503
581,0,taiwan,mlp,shap,0.01170367089711907,0.0,-0.006841704705790487,0.014340927975523403,-0.0079005129767741,-0.03933743024165216,0.0,-0.00906092067721588,-0.016374505709339193,-0.007458561075037026,0.0,0.0,0.0,0.0,-0.008160508444425141,0.0,0.0,0.0,0.0,0.0,-0.002577067220495736,0.0,0.0
757,1,taiwan,mlp,shap,0.03400167209253112,-0.001813798935274828,0.0,0.0,0.0,-0.04654060484426746,0.0,-0.013566939698043155,-0.002754667854131681,-0.009185820545829703,-0.012892972220228966,0.0,-0.010395908838525267,0.0,-0.006723826994242328,0.002161768898831858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
