dataset,model,instance_index,category_correlation,category_rank_agreement,category_sign_agreement
german,xgboost,6,-0.8692923142833626,0.696969696969697,0.6
german,xgboost,8,-0.7723476351217907,0.6363636363636364,0.3
german,xgboost,9,0.38930365780379544,0.6727272727272727,0.8
german,xgboost,10,0.5152537103679486,0.7212121212121212,0.5
german,xgboost,12,-0.485693485893524,0.793939393939394,0.4
german,xgboost,15,-0.5596501286923394,0.9212121212121211,0.4
german,xgboost,18,0.2064190518762409,0.4909090909090909,0.5
german,xgboost,21,0.16679423869847484,0.9575757575757575,0.5
german,xgboost,22,-0.782992129362068,0.6181818181818182,0.5
german,xgboost,23,-0.27087178779685267,0.5575757575757576,0.4
german,xgboost,24,-0.3995174479753675,0.4666666666666667,0.6
german,xgboost,27,-0.9266746382092965,0.7696969696969697,0.3
german,xgboost,29,-0.3922569778970459,0.8,0.8
german,xgboost,32,-0.33522856280050606,0.7575757575757576,0.2
german,xgboost,38,-0.951901886388872,0.7515151515151515,0.3
german,xgboost,40,-0.9393484665787717,0.7575757575757576,0.5
german,xgboost,45,0.004036288907980864,0.8606060606060606,0.7
german,xgboost,47,0.5670841509130917,0.9515151515151514,0.3
german,xgboost,51,0.5189511808181155,0.7393939393939394,0.8
german,xgboost,54,0.3773525679613904,0.7818181818181817,0.3
german,xgboost,55,-0.6702529082106846,0.5818181818181818,0.6
german,xgboost,56,-0.2657874862550692,0.9212121212121211,0.6
german,xgboost,57,-0.8325618759051373,0.6787878787878787,0.8
german,xgboost,58,0.5296807716713661,0.806060606060606,0.2
german,xgboost,59,0.10418939171003526,0.8424242424242424,0.5
german,xgboost,60,0.0821592466107531,0.3939393939393939,0.5
german,xgboost,62,-0.4319361472217511,0.8606060606060606,0.5
german,xgboost,65,0.33638687118383326,0.6666666666666666,0.3
german,xgboost,67,-0.5342997784101139,0.6666666666666666,0.7
german,xgboost,70,0.8440002716813177,0.8363636363636363,0.7
german,xgboost,71,-0.6291997517861845,0.8303030303030303,0.6
german,xgboost,74,-0.9078331913213843,0.896969696969697,0.4
german,xgboost,75,-0.7378286523546203,0.7696969696969697,0.7
german,xgboost,77,-0.4084665855843039,0.8363636363636363,0.9
german,xgboost,78,-0.14400344255763245,0.7636363636363637,0.7
german,xgboost,79,0.649210939021542,0.6484848484848484,0.5
german,xgboost,80,-0.11411382487687781,0.8909090909090909,0.5
german,xgboost,81,-0.8672195483010319,0.7333333333333333,0.7
german,xgboost,82,0.2833203187842728,0.4484848484848485,0.7
german,xgboost,83,-0.1848051381081476,0.6484848484848484,0.3
