dataset,model,instance_index,shap_lime_correlation,rank_agreement,sign_agreement,top10_overlap,explanation_agreement_score
german,xgboost,6,-0.14082490612174448,0.7051727414113529,0.5434782608695652,0.3333333333333333,0.5451125748254106
german,xgboost,8,-0.25613151177569543,0.726368496840224,0.5217391304347826,0.42857142857142855,0.5756405664379529
german,xgboost,9,-0.09316038432669278,0.7045213993751263,0.5,0.5384615384615384,0.593347021288512
german,xgboost,10,0.5029833340776659,0.6798246805015375,0.4782608695652174,0.25,0.4904081330701803
german,xgboost,12,-0.4117903970729819,0.7161912775241848,0.5217391304347826,0.3333333333333333,0.5429982501401087
german,xgboost,15,-0.35933191070362047,0.7246858632466389,0.41304347826086957,0.42857142857142855,0.542358817348345
german,xgboost,18,0.34641862629240183,0.6832713654432362,0.4782608695652174,0.42857142857142855,0.5453582356182882
german,xgboost,21,0.31485243196038143,0.8002415394489149,0.4782608695652174,0.5384615384615384,0.6251133381875926
german,xgboost,22,-0.15086645268665155,0.7144272261760712,0.5217391304347826,0.42857142857142855,0.5708640581722919
german,xgboost,23,-0.0568755536780827,0.8034982496300475,0.34782608695652173,0.5384615384615384,0.587285587477437
german,xgboost,24,-0.0631204543665973,0.7168697588119206,0.5434782608695652,0.42857142857142855,0.5783628103570664
german,xgboost,27,-0.6090064606336347,0.6492930225534196,0.4782608695652174,0.3333333333333333,0.5031954698909331
german,xgboost,29,-0.14045620325378944,0.7696284637462685,0.5869565217391305,0.42857142857142855,0.6125097705916751
german,xgboost,32,-0.18987060626633057,0.690626102602294,0.3695652173913043,0.42857142857142855,0.5156914348297374
german,xgboost,38,-0.8413262389864682,0.7563845090096627,0.43478260869565216,0.6666666666666666,0.6329885862125607
german,xgboost,40,-0.6709626408812844,0.729896599536451,0.6521739130434783,0.5384615384615384,0.6491492752660855
german,xgboost,45,0.16197810200137838,0.7224061661198461,0.5217391304347826,0.5384615384615384,0.6070226671168347
german,xgboost,47,0.2136476173533033,0.7622465873357014,0.5,0.42857142857142855,0.5834700635057092
german,xgboost,51,0.5195364475369625,0.752747849307398,0.5,0.42857142857142855,0.5796705682943878
german,xgboost,54,0.13760732890438385,0.6846283280187081,0.5,0.25,0.4988513312074832
german,xgboost,55,-0.1348186163871954,0.6757266535236124,0.45652173913043476,0.5384615384615384,0.568785644687037
german,xgboost,56,-0.3180636101926119,0.6929057997290867,0.3695652173913043,0.3333333333333333,0.48803188510902595
german,xgboost,57,-0.1752256333430971,0.7136130486307881,0.6304347826086957,0.6666666666666666,0.6745756542349239
german,xgboost,58,-0.019430092844423468,0.6298341792211524,0.4782608695652174,0.42857142857142855,0.5239833611294548
german,xgboost,59,0.28218150746600923,0.7157570495000337,0.5,0.3333333333333333,0.5363028198000135
german,xgboost,60,-0.3019482189466134,0.710383477701165,0.5,0.3333333333333333,0.534153391080466
german,xgboost,62,0.020402155630702693,0.7257171548039976,0.5217391304347826,0.3333333333333333,0.5468086010520338
german,xgboost,65,-0.22198061938572716,0.7236817109407897,0.4782608695652174,0.42857142857142855,0.5615223738173096
german,xgboost,67,-0.35892363130471644,0.6671235107951204,0.5217391304347826,0.42857142857142855,0.5519425720199116
